DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601120900 999.9 999 000.6 206 +0046.7 +09999.99 +09999.9 +09999.9 +0000.00
0601121000 999.9 999 001.1 150 +0037.8 +09999.99 +09999.9 +09999.9 +0000.00
0601121100 999.9 999 001.4 032 +0061.7 +09999.99 +09999.9 +09999.9 +0000.00
0601121200 999.9 999 003.2 119 +0028.1 +09999.99 +09999.9 +09999.9 +0000.00
0601121300 999.9 999 003.5 157 +0046.9 +09999.99 +09999.9 +09999.9 +0000.00
0601121400 999.9 999 003.9 160 +0046.2 +09999.99 +09999.9 +09999.9 +0000.00
0601121500 999.9 999 003.1 146 +0073.6 +09999.99 +09999.9 +09999.9 +0000.00
0601121600 999.9 999 003.4 163 +0056.8 +09999.99 +09999.9 +09999.9 +0000.00
0601121700 999.9 999 001.7 156 +0063.7 +09999.99 +09999.9 +09999.9 +0000.00
0601121800 999.9 999 000.7 156 +0028.5 +09999.99 +09999.9 +09999.9 +0000.00
0601121900 999.9 999 001.3 149 +0020.0 +09999.99 +09999.9 +09999.9 +0000.00
0601122000 999.9 999 000.8 142 +0041.2 +09999.99 +09999.9 +09999.9 +0000.00
0601122100 999.9 999 001.0 145 +0022.6 +09999.99 +09999.9 +09999.9 +0000.00
0601122200 999.9 999 001.0 154 +0029.3 +09999.99 +09999.9 +09999.9 +0000.00
0601122300 999.9 999 000.5 166 +0048.6 +09999.99 +09999.9 +09999.9 +0000.00
0601122400 999.9 999 001.6 156 +0028.8 +09999.99 +09999.9 +09999.9 +0000.00
0601130100 999.9 999 000.6 159 +0020.2 +09999.99 +09999.9 +09999.9 +0000.00
0601130200 999.9 999 000.9 170 +0032.8 +09999.99 +09999.9 +09999.9 +0000.00
